1;3;Для какого из приведённых значений числа X ложно высказывание: НЕ (X < 6) ИЛИ (X < 5)?  ;5;7,6,4;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (X >= 6) ИЛИ (X < 5){n} {n}и проверим все варианты ответа.{n} {n}7 -  Истинно, поскольку истинно первое высказывание: 7 больше 6.{n}6 -  Истинно, поскольку истинно первое высказывание: 6 не меньше 6.{n}5 -  Ложно, поскольку ложны оба высказывания: 5 не больше 6 и 5 не меньше 5.{n}4 -  Истинно, поскольку истинно второе высказывание: 4 меньше 5.{n} {n}Правильный ответ указан под номером 3.{n}
42;2;Для какого из приведённых значений числа X ложно высказывание: НЕ (X = 5) ИЛИ (X > 6)?   ;5;4,6,7;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Проверим все варианты ответа.{n}Запишем выражение в виде{n} {n}(X ≠ 5) ИЛИ (X > 6){n} {n}и проверим все варианты ответа.{n} {n}4 -  Истинно, истинно первое высказывание, 4 не равно 5.{n}5 -  Ложно, поскольку ложно первое высказывание, 5 равно 5, и ложно второе, 5 не больше 6.{n}6 -  Истинно, истинно первое высказывание, 6 не равно 5.{n}7 -  Истинно, истинно первое высказывание, 7 не равно 5.{n} {n}Правильный ответ указан под номером 2.{n}
43;2;Для какого из приведённых чисел ложно высказывание: НЕ (число > 30) ИЛИ (число нечётное)?   ;34;28,17,45;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (число <=30) ИЛИ (число нечётное){n} {n}и проверим все варианты ответа.{n} {n}28 -  Истинно, поскольку истинно первое высказывание, 28 меньше 30.{n}34 -  Ложно, поскольку ложны оба высказвыания: 34 не меньше 30 и 34 не является нечётным число.{n}17 -  Истинно, поскольку истинны оба высказываниея: число меньше 30 и 17 — нечётное.{n}45 -  Истинно, поскольку истинно второе высказывание, 45 — нечётное.{n} {n}Правильный ответ указан под номером 2.{n}
44;4;Для какого из приведённых чисел ложно высказывание: НЕ (число > 30) ИЛИ (число чётное)?   ;45;28,34,17;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n}(число <=30) ИЛИ (число чётное){n} {n}и проверим все варианты ответа.{n} {n}28 -  Истинно, поскольку истинно первое высказывание, 28 меньше 30.{n}34 -  Истинно, поскольку истинно второе высказвыаник: 34 —чётное.{n}17 -  Истинно, поскольку истинно первое высказывание: число меньше 17 меньше 30.{n}45 -  Ложно, поскольку ложны оба высказывания: 45 больше 30 и 45 не является чётным.{n} {n}Правильный ответ указан под номером 4.{n}
45;4;Для какого из приведённых чисел истинно высказывание: НЕ (число < 20) И (число чётное)?   ;36;8,15,21;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(X >= 20) И (число чётное){n} {n}и проверим все варианты ответа.{n} {n}8 -  Ложно, поскольку ложно первое высказывание: 8 не больше 20.{n}15 -  Ложно, поскольку ложно первое высказывание: 15 не больше 20.{n}21 -  Ложно, поскольку ложно второе высказывание: 21 — нечётное.{n}36 -  Истинно, поскольку истинны оба высказывания: 36 больше 20 и 36 — чётное.{n} {n}Правильный ответ указан под номером 4.{n}
46;3;Для какого из приведённых чисел истинно высказывание: НЕ (число < 20) И (число нечётное)?   ;21;8,15,36;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Запишем выражение в виде{n} {n}(X >= 20) И (число нечётное){n} {n}и проверим все варианты ответа.{n} {n}8 -  Ложно, поскольку ложно первое высказывание: 8 не больше 20.{n}15 -  Ложно, поскольку ложно первое высказывание: 15 не больше 20.{n}21 -  Истинно, поскольку истинны оба высказывания: 21 больше 20 и 21 — нечётное.{n}36 -  Ложно, поскольку ложно второе высказывание: 36 — чётное.{n} {n}Правильный ответ указан под номером 3.{n}
47;1;Для какой из перечисленных ниже фамилий русских писателей и поэтов истинно высказывание:  НЕ (количество гласных букв чётно) И НЕ (первая буква согласная)? ;Есенин ;Одоевский,Толстой,Фет;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Проверим все варианты ответа.{n} {n}Есенин  -  Есенин — истинно, поскольку истинны оба высказывания.{n}Одоевский  -  Одоевский — ложно, поскольку ложно высказывание «НЕ (количество гласных букв чётно)».{n}Толстой  -  Толстой — ложно, поскольку ложно высказывание «НЕ (первая буква согласная)».{n}Фет -  Фет — ложно, поскольку ложны оба высказывания.{n} {n}Правильный ответ указан под номером 1.{n}
48;2;Для какой из перечисленных ниже фамилий русских писателей и поэтов истинно высказывание:  НЕ (количество гласных букв нечётно) И НЕ (первая буква согласная)? ;Одоевский ;Есенин,Толстой,Фет;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Проверим все варианты ответа.{n} {n}Есенин  -  Есенин — ложно, поскольку ложно высказывание «НЕ (количество гласных букв нечётно)».{n}Одоевский  -  Одоевский — истинно, поскольку истинны оба высказывания.{n}Толстой  -  Толстой — ложно, поскольку ложно высказывание «НЕ (первая буква согласная)».{n}Фет -  Фет — ложно, поскольку ложны оба высказывания.{n} {n}Правильный ответ указан под номером 2.{n}
49;4;Для какого из приведённых имён истинно высказывание: НЕ (Третья буква гласная) И (Последняя буква согласная)? ;Матвей;Иван,Ксения,Марина ;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Таким образом, в искомом имени третья буква должна быть согласной, а последняя − также согласной. Под такие условия подходит только имя «Матвей».{n} {n}Правильный ответ указан под номером 4.{n}
50;2;Для какого из приведённых имён ложно высказывание: (Третья буква гласная) ИЛИ НЕ (Последняя буква гласная)? ;Татьяна ;Елена,Максим,Станислав;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Проверим все варианты ответа.{n} {n}Елена  -  Елена — истино, поскольку истино высказывание «(Третья буква гласная)».{n}Татьяна  -  Татьяна — ложно, поскольку ложны оба высказывания.{n}Максим -  Максим — истино, поскольку истино высказывание «НЕ (Последняя буква гласная)».{n}Станислав -  Станислав — истино, поскольку истины оба высказывания.{n} {n}Правильный ответ указан под номером 2.{n}
51;2;Для какого из указанных значений числа X истинно высказывание: (X < 3) И НЕ (X < 2)?   ;2 ;1,3,4;{n}Преобразуем высказывание:{n} {n}(X < 3  -  и НЕ (Х < 2  - {n}(X < 3  -  и (X 2  - {n}2 X < 3{n} {n}Такому неравенству удовлетворяет только X = 2. Правильный ответ указан под номером 2.{n}
52;3;Для какого из приведённых значений числа X ложно высказывание: НЕ (X < 7) ИЛИ (X < 6)?   ;6 ;4,5,7;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Проверим все варианты ответа.{n} {n}4  -  Истинно, поскольку истинно высказывание (X < 6).{n}5  -  Истинно, поскольку истинно высказывание (X < 6).{n}6  -  Ложно, поскольку ложны оба высказывания.{n}7 -  Истинно, поскольку истинно высказывание НЕ (X < 7).{n} {n}Правильный ответ указан под номером 3.{n}
53;2;Для какого из приведённых чисел истинно высказывание:   (Первая цифра чётная) И НЕ(Сумма цифр чётная);452 ;648,357,123;{n}Логическое «И» истинно только тогда, когда истинны оба высказывания. Проверим все варианты ответа.{n} {n}648  -  Ложно, поскольку ложно второе высказывание.{n}452  -  Истинно, поскольку истинны оба высказывания.{n}357  -  Ложно, поскольку ложно первое высказывание.{n}123 -  Ложно, поскольку ложно первое высказывание.{n} {n}Правильный ответ указан под номером 2.{n}
54;1;Для какого из приведённых имён истинно высказывание:   НЕ((Первая буква согласная) ИЛИ (Последняя буква гласная));Иван ;Семён,Никита,Михаил;{n}Для того, чтобы высказывание было истинным, необходимо, чтобы выражение в скобках было ложным. Логическое «ИЛИ» ложно, когда ложны оба высказывания. Следовательно, первая буква имени должна быть гласной, а последняя − согласной. Таким условиям удовлетворяет только имя «Иван».{n} {n}Правильный ответ указан под номером 1.{n}{n}
55;4;Для какого из приведённых имён ЛОЖНО высказывание: НЕ(Первая буква гласная) ИЛИ (Последняя буква гласная)?   ;Егор;Анна,Максим,Татьяна ;{n}Логическое «ИЛИ» ложно только тогда, когда ложны оба высказывания. Запишем выражение в виде{n} {n} (Первая буква согласная) ИЛИ (Последняя буква гласная){n} {n}и проверим все варианты ответа.{n} {n}Анна  -  Истинно, поскольку истинно второе высказывание: а — гласная.{n}Максим  -  Истинно, поскольку истинно первое высказывание: м — согласная.{n}Татьяна  -  Истинно, поскольку истинны оба высказывания: т — согласная и а — гласная.{n}Егор -  Ложно, поскольку ложны оба высказывания: е — гласная и р — согласная.{n} {n}Ответ: 4.{n}
